sample	locus	read_count	molecule_count
13R_S8_R1_001	PAEP	7	7
13R_S8_R1_001	PRUNE2	157	155
13R_S8_R1_001	S100P	42	41
13R_S8_R1_001	SDHA	265	264
13R_S8_R1_001	SERPING1	607	596
13R_S8_R1_001	SFRP4	117	117
13R_S8_R1_001	SLC1A1	6	6
13R_S8_R1_001	SPP1	1607	1576
13R_S8_R1_001	TBP	99	99
13R_S8_R1_001	TCN1	30	30
13R_S8_R1_001	TSPAN8	15	15
13R_S8_R1_001	unmatched	2225	1188
14R_S9_R1_001	ABCC3	3	3
14R_S9_R1_001	ACADSB	16	16
14R_S9_R1_001	ANXA2	3468	3346
14R_S9_R1_001	ANXA4	317	313
14R_S9_R1_001	AOX1	4	4
14R_S9_R1_001	APOD	7	7
14R_S9_R1_001	AQP3	160	159
14R_S9_R1_001	ARG2	2	2
14R_S9_R1_001	ARID5B	6	6
14R_S9_R1_001	BCL6	10	10
14R_S9_R1_001	C10orf10	20	20
14R_S9_R1_001	C1R	529	524
14R_S9_R1_001	C4BPA	2	2
14R_S9_R1_001	CD55	43	43
14R_S9_R1_001	CEBPD	270	267
14R_S9_R1_001	CFD	73	73
14R_S9_R1_001	CLDN4	78	78
14R_S9_R1_001	COMP	0	0
14R_S9_R1_001	CP	62	62
14R_S9_R1_001	CRABP2	187	186
14R_S9_R1_001	CYC1	134	133
14R_S9_R1_001	DDX52	22	22
14R_S9_R1_001	DEFB1	7	7
14R_S9_R1_001	DKK1	10	10
14R_S9_R1_001	DPP4	7	7
14R_S9_R1_001	DYNLT3	179	177
14R_S9_R1_001	EDN3	50	50
14R_S9_R1_001	EDNRB	9	9
14R_S9_R1_001	EFNA1	32	32
14R_S9_R1_001	ENPEP	4	4
14R_S9_R1_001	ERCC_00004	2134	2073
14R_S9_R1_001	ERCC_00108	239	237
14R_S9_R1_001	ERCC_00116	66	66
14R_S9_R1_001	ERCC_00136	412	409
14R_S9_R1_001	G0S2	38	38
14R_S9_R1_001	GADD45A	32	32
14R_S9_R1_001	GBP2	44	44
14R_S9_R1_001	GNLY	742	730
14R_S9_R1_001	GPX3	23	23
14R_S9_R1_001	HABP2	10	10
14R_S9_R1_001	HMBS	45	45
14R_S9_R1_001	ID4	206	204
14R_S9_R1_001	IDO1	402	396
14R_S9_R1_001	IGFBP1	1	1
14R_S9_R1_001	IL15	79	79
14R_S9_R1_001	LAMB3	21	21
14R_S9_R1_001	MAOA	51	51
14R_S9_R1_001	MAP3K5	28	28
14R_S9_R1_001	MMP7	105	105
14R_S9_R1_001	MT1G	150	149
14R_S9_R1_001	MT1H	9	9
14R_S9_R1_001	NDRG1	50	50
14R_S9_R1_001	NNMT	47	47
14R_S9_R1_001	OLFM1	116	116
14R_S9_R1_001	PAEP	7	7
14R_S9_R1_001	PRUNE2	21	21
14R_S9_R1_001	S100P	4	4
14R_S9_R1_001	SDHA	296	292
14R_S9_R1_001	SERPING1	361	359
14R_S9_R1_001	SFRP4	453	448
14R_S9_R1_001	SLC1A1	4	4
14R_S9_R1_001	SPP1	61	61
14R_S9_R1_001	TBP	43	43
